WD1,,"2020-02-10 11:55",->,"2021-02-09 11:55"
,NO,,,NO2,,,NOXasNO2,,
"2020-02-11 12:00",20.579391,24,1,35.210246,24,1,66.764872,24,1
"2020-02-11 13:00",23.830068,24,1,32.715229,24,1,69.254157,24,1
"2020-02-13 17:00",62.838211,24,1,80.871702,24,1,177.222281,24,1
"2020-02-13 18:00",71.119407,24,1,75.474711,24,1,184.522948,24,1
"2020-02-13 19:00",66.373169,24,1,78.906786,24,1,180.677558,24,1
"2020-02-13 20:00",89.548159,24,1,86.674724,24,1,223.979984,24,1
"2020-02-13 21:00",61.181972,24,1,72.432369,24,1,166.243418,24,1
"2020-02-13 22:00",55.175015,24,1,62.694613,24,1,147.295123,24,1
"2020-02-13 23:00",45.534219,24,1,59.253161,24,1,129.071322,24,1
"2020-02-14 00:00",29.812306,24,1,44.682944,24,1,90.394509,24,1
"2020-02-14 01:00",12.940915,24,1,31.039284,24,1,50.881743,24,1
"2020-02-14 02:00",6.872157,24,1,19.111347,24,1,29.648508,24,1
"2020-02-14 03:00",1.520279,24,1,16.059928,24,1,18.390992,24,1
"2020-02-14 04:00",6.526077,24,1,20.310760,24,1,30.317271,24,1
"2020-02-14 05:00",4.931637,24,1,17.795537,24,1,25.357277,24,1
"2020-02-14 06:00",10.382395,24,1,20.918263,24,1,36.837714,24,1
"2020-02-14 07:00",27.327948,24,1,30.045520,24,1,71.947787,24,1
"2020-02-14 08:00",21.172671,24,1,31.569781,24,1,64.034088,24,1
"2020-02-14 09:00",25.399789,24,1,40.748498,24,1,79.694296,24,1
"2020-02-14 10:00",56.361574,24,1,44.323356,24,1,130.743230,24,1
"2020-02-14 11:00",21.728870,24,1,29.490888,24,1,62.808022,24,1
"2020-02-14 12:00",13.422954,24,1,25.897476,24,1,46.479051,24,1
"2020-02-14 13:00",12.050995,24,1,22.483820,24,1,40.961753,24,1
"2020-02-14 14:00",11.161075,24,1,23.068120,24,1,40.181529,24,1
"2020-02-14 15:00",9.121676,24,1,19.228872,24,1,33.215246,24,1
"2020-02-14 16:00",10.234075,24,1,23.653546,24,1,39.345576,24,1
"2020-02-14 17:00",10.641955,24,1,22.359376,24,1,38.676813,24,1
"2020-02-14 18:00",9.789116,24,1,23.667044,24,1,38.676813,24,1
"2020-02-14 19:00",9.714955,24,1,20.882781,24,1,35.778838,24,1
"2020-02-14 20:00",10.011596,24,1,21.542545,24,1,36.893445,24,1
"2020-02-14 21:00",6.006957,24,1,15.868085,24,1,25.078626,24,1
"2020-02-14 22:00",4.301278,24,1,12.241633,24,1,18.836834,24,1
"2020-02-14 23:00",3.559678,24,1,10.703683,24,1,16.161780,24,1
"2020-02-15 00:00",2.632679,24,1,7.387989,24,1,11.424707,24,1
"2020-02-15 01:00",1.965240,24,1,6.906665,24,1,9.919990,24,1
"2020-02-15 02:00",4.590064,24,1,4.767495,24,1,11.805495,24,1
"2020-02-15 03:00",4.340604,24,1,5.075748,24,1,11.731248,24,1
"2020-02-15 04:00",4.265766,24,1,3.538471,24,1,10.079221,24,1
"2020-02-15 05:00",4.303185,24,1,2.423055,24,1,9.021180,24,1
"2020-02-15 06:00",3.816738,24,1,2.222264,24,1,8.074514,24,1
"2020-02-15 07:00",4.003833,24,1,2.380879,24,1,8.520004,24,1
"2020-02-15 08:00",4.190928,24,1,2.372435,24,1,8.798435,24,1
"2020-02-15 09:00",5.575431,24,1,5.372700,24,1,13.921575,24,1
"2020-02-15 10:00",6.548325,24,1,7.667620,24,1,17.708245,24,1
"2020-02-15 11:00",7.670895,24,1,7.839705,24,1,19.601580,24,1
"2020-02-15 12:00",6.810258,24,1,8.268348,24,1,18.710598,24,1
"2020-02-15 13:00",7.334124,24,1,6.629804,24,1,17.875304,24,1
"2020-02-15 14:00",8.868303,24,1,8.565273,24,1,22.163148,24,1
"2020-02-15 15:00",7.184448,24,1,6.191069,24,1,17.207069,24,1
"2020-02-15 16:00",7.970247,24,1,5.877174,24,1,18.098049,24,1
"2020-02-15 17:00",7.521219,24,1,7.289595,24,1,18.821970,24,1
"2020-02-15 18:00",6.286392,24,1,4.171203,24,1,13.810203,24,1
"2020-02-15 19:00",7.184448,24,1,6.079694,24,1,17.095694,24,1
"2020-02-15 20:00",7.147029,24,1,6.693934,24,1,17.652559,24,1
"2020-02-15 21:00",6.174135,24,1,4.621759,24,1,14.088634,24,1
"2020-02-15 22:00",5.425755,24,1,3.152005,24,1,11.471380,24,1
"2020-02-15 23:00",5.350917,24,1,3.823617,24,1,12.028242,24,1
"2020-02-16 00:00",4.789632,24,1,2.623849,24,1,9.967849,24,1
"2020-02-16 01:00",4.415442,24,1,2.195244,24,1,8.965494,24,1
"2020-02-16 02:00",4.390496,24,1,1.658069,24,1,8.390069,24,1
"2020-02-16 03:00",3.629643,24,1,1.395414,24,1,6.960789,24,1
"2020-02-16 04:00",3.779319,24,1,1.110227,24,1,6.905102,24,1
"2020-02-16 05:00",3.741900,24,1,0.833483,24,1,6.570983,24,1
"2020-02-16 06:00",3.592224,24,1,0.506120,24,1,6.014120,24,1
"2020-02-16 07:00",3.816738,24,1,1.442656,24,1,7.294906,24,1
"2020-02-16 08:00",5.126403,24,1,3.221199,24,1,11.081574,24,1
"2020-02-16 09:00",6.510906,24,1,6.555581,24,1,16.538831,24,1
"2020-02-16 10:00",5.762526,24,1,5.364257,24,1,14.200007,24,1
"2020-02-16 11:00",6.548325,24,1,6.609579,24,1,16.650204,24,1
"2020-02-16 12:00",13.396002,24,1,13.595454,24,1,34.135704,24,1
"2020-02-16 13:00",18.110796,24,1,26.301899,24,1,54.071399,24,1
"2020-02-16 14:00",17.549511,24,1,20.424483,24,1,47.333358,24,1
"2020-02-16 15:00",20.355936,24,1,24.529989,24,1,55.741989,24,1
"2020-02-16 16:00",9.616683,24,1,13.153464,24,1,27.898839,24,1
"2020-02-16 17:00",11.450214,24,1,13.349149,24,1,30.905899,24,1
"2020-02-16 18:00",8.269599,24,1,10.151510,24,1,22.831385,24,1
"2020-02-16 19:00",8.119923,24,1,10.102577,24,1,22.552952,24,1
"2020-02-16 20:00",6.997353,24,1,8.092845,24,1,18.821970,24,1
"2020-02-16 21:00",5.799945,24,1,5.418256,24,1,14.311381,24,1
"2020-02-16 22:00",6.847677,24,1,6.261951,24,1,16.761576,24,1
"2020-02-16 23:00",6.660582,24,1,7.495495,24,1,17.708245,24,1
"2020-02-17 00:00",5.276079,24,1,3.214444,24,1,11.304319,24,1
"2020-02-17 01:00",3.517386,24,1,1.400480,24,1,6.793730,24,1
"2020-02-17 02:00",3.741900,24,1,0.944855,24,1,6.682355,24,1
"2020-02-17 03:00",3.542332,24,1,1.028110,24,1,6.459610,24,1
"2020-02-17 04:00",3.554805,24,1,0.563495,24,1,6.014120,24,1
"2020-02-17 05:00",3.704481,24,1,0.612426,24,1,6.292551,24,1
"2020-02-17 06:00",3.779319,24,1,1.054541,24,1,6.849416,24,1
"2020-02-17 07:00",5.388336,24,1,3.432123,24,1,11.694123,24,1
"2020-02-17 08:00",6.323811,24,1,5.840104,24,1,15.536479,24,1
"2020-02-17 09:00",14.256639,24,1,17.176224,24,1,39.036099,24,1
"2020-02-17 10:00",13.358583,24,1,15.323417,24,1,35.806292,24,1
"2020-02-17 11:00",13.246326,24,1,15.773973,24,1,36.084723,24,1
"2020-02-17 12:00",13.583097,24,1,18.153287,24,1,38.980412,24,1
"2020-02-17 13:00",18.821757,24,1,25.712951,24,1,54.572576,24,1
"2020-02-17 14:00",26.604909,24,1,30.930333,24,1,71.723958,24,1
"2020-02-17 15:00",30.159714,24,1,31.382455,24,1,77.626705,24,1
"2020-02-17 16:00",23.087523,24,1,30.699266,24,1,66.099641,24,1
"2020-02-17 17:00",29.935200,24,1,35.680432,24,1,81.580432,24,1
"2020-02-17 18:00",36.333849,24,1,42.797944,24,1,98.509069,24,1
"2020-02-17 19:00",26.941680,24,1,47.843769,24,1,89.153769,24,1
"2020-02-17 20:00",24.172674,24,1,32.710687,24,1,69.774937,24,1
"2020-02-17 21:00",26.118462,24,1,28.613461,24,1,68.661211,24,1
"2020-02-17 22:00",14.294058,24,1,15.114141,24,1,37.031391,24,1
"2020-02-17 23:00",10.103130,24,1,11.739351,24,1,27.230601,24,1
"2020-02-18 00:00",8.007666,24,1,8.715486,24,1,20.993736,24,1
"2020-02-18 01:00",5.051565,24,1,4.561049,24,1,12.306674,24,1
"2020-02-18 02:00",4.240820,24,1,2.704302,24,1,9.206802,24,1
"2020-02-18 03:00",3.667062,24,1,2.229019,24,1,7.851769,24,1
"2020-02-18 04:00",3.966414,24,1,1.491587,24,1,7.573337,24,1
"2020-02-18 05:00",4.190928,24,1,1.871259,24,1,8.297259,24,1
"2020-02-18 06:00",3.966414,24,1,2.215509,24,1,8.297259,24,1
"2020-02-18 07:00",16.052751,24,1,16.816735,24,1,41.430610,24,1
"2020-02-18 08:00",14.032125,24,1,18.188709,24,1,39.704334,24,1
"2020-02-18 09:00",20.879802,24,1,25.453015,24,1,57.468265,24,1
"2020-02-18 10:00",23.461713,24,1,28.510613,24,1,64.484738,24,1
"2020-02-18 11:00",16.726293,24,1,22.354968,24,1,48.001593,24,1
"2020-02-18 12:00",13.246326,24,1,14.604561,24,1,34.915311,24,1
"2020-02-18 13:00",12.497946,24,1,13.635982,24,1,32.799232,24,1
"2020-02-18 14:00",12.759879,24,1,15.461809,24,1,35.026684,24,1
"2020-02-18 15:00",17.362416,24,1,18.149788,24,1,44.771788,24,1
"2020-02-18 16:00",23.424294,24,1,22.943672,24,1,58.860422,24,1
"2020-02-18 17:00",20.281098,24,1,26.482388,24,1,57.579638,24,1
"2020-02-18 18:00",17.362416,24,1,21.101161,24,1,47.723161,24,1
"2020-02-18 19:00",19.607556,24,1,25.343371,24,1,55.407871,24,1
"2020-02-18 20:00",46.848588,24,1,61.924998,24,1,133.758498,24,1
"2020-02-18 21:00",28.700373,24,1,36.125964,24,1,80.132589,24,1
"2020-02-18 22:00",35.697726,24,1,51.625088,24,1,106.360838,24,1
"2020-02-18 23:00",19.420461,24,1,28.136130,24,1,57.913755,24,1
"2020-02-19 00:00",18.709500,24,1,22.042721,24,1,50.730221,24,1
"2020-02-19 01:00",10.926348,24,1,14.375144,24,1,31.128644,24,1
"2020-02-19 02:00",5.438228,24,1,4.951964,24,1,13.290464,24,1
"2020-02-19 03:00",5.500593,24,1,3.705490,24,1,12.139615,24,1
"2020-02-19 04:00",3.891576,24,1,2.887121,24,1,8.854121,24,1
"2020-02-19 05:00",8.494113,24,1,10.753926,24,1,23.778051,24,1
"2020-02-19 06:00",6.061878,24,1,6.297415,24,1,15.592165,24,1
"2020-02-19 07:00",14.630829,24,1,15.655805,24,1,38.089430,24,1
"2020-02-19 08:00",35.248698,24,1,39.505738,24,1,93.552988,24,1
"2020-02-19 09:00",67.204524,24,1,56.607127,24,1,159.652627,24,1
"2020-02-19 10:00",55.155606,24,1,51.916377,24,1,136.487127,24,1
"2020-02-19 11:00",32.367435,24,1,36.628707,24,1,86.258082,24,1
"2020-02-19 12:00",26.193300,24,1,28.888515,24,1,69.051015,24,1
"2020-02-19 13:00",30.683580,24,1,31.247441,24,1,78.294941,24,1
"2020-02-19 14:00",37.456419,24,1,49.429639,24,1,106.862014,24,1
"2020-02-19 15:00",20.730126,24,1,24.457415,24,1,56.243165,24,1
"2020-02-19 16:00",19.158528,24,1,29.205990,24,1,58.581990,24,1
"2020-02-19 17:00",25.070730,24,1,31.278000,24,1,69.719250,24,1
"2020-02-19 18:00",27.016518,24,1,39.765878,24,1,81.190628,24,1
"2020-02-19 19:00",24.210093,24,1,32.096449,24,1,69.218074,24,1
"2020-02-19 20:00",19.270785,24,1,24.746019,24,1,54.294144,24,1
"2020-02-19 21:00",10.514739,24,1,16.342739,24,1,32.465114,24,1
"2020-02-19 22:00",8.045085,24,1,11.609485,24,1,23.945110,24,1
"2020-02-19 23:00",6.847677,24,1,7.932541,24,1,18.432166,24,1
"2020-02-20 00:00",6.735420,24,1,8.048980,24,1,18.376480,24,1
"2020-02-20 01:00",4.452861,24,1,3.474341,24,1,10.301966,24,1
"2020-02-20 02:00",4.190928,24,1,2.483808,24,1,8.909808,24,1
"2020-02-20 03:00",3.517386,24,1,1.790284,24,1,7.183534,24,1
"2020-02-20 04:00",4.003833,24,1,1.434212,24,1,7.573337,24,1
"2020-02-20 05:00",3.779319,24,1,2.056894,24,1,7.851769,24,1
"2020-02-20 06:00",4.078671,24,1,2.321815,24,1,8.575690,24,1
"2020-02-20 07:00",4.639956,24,1,4.356880,24,1,11.471380,24,1
"2020-02-20 08:00",8.568951,24,1,11.697215,24,1,24.836090,24,1
"2020-02-20 09:00",13.208907,24,1,20.453312,24,1,40.706687,24,1
"2020-02-20 10:00",10.514739,24,1,15.117641,24,1,31.240016,24,1
"2020-02-20 11:00",12.984393,24,1,16.119914,24,1,36.029039,24,1
"2020-02-20 12:00",9.990873,24,1,11.076183,24,1,26.395308,24,1
"2020-02-20 13:00",13.021812,24,1,14.169204,24,1,34.135704,24,1
"2020-02-20 14:00",37.830609,24,1,85.887281,24,1,143.893406,24,1
"2020-02-20 15:00",49.542756,24,1,55.399487,24,1,131.363987,24,1
"2020-02-20 16:00",71.545128,24,1,69.553205,24,1,179.254207,24,1
"2020-02-20 17:00",47.222778,24,1,60.683011,24,1,133.090261,24,1
"2020-02-20 18:00",101.106139,24,1,76.627765,24,1,231.655016,24,1
"2020-02-20 19:00",109.562833,24,1,97.351228,24,1,265.345228,24,1
"2020-02-20 20:00",76.447018,24,1,70.779829,24,1,187.996956,24,1
"2020-02-20 21:00",58.373640,24,1,61.627624,24,1,151.132624,24,1
"2020-02-20 22:00",28.139088,24,1,36.262666,24,1,79.408666,24,1
"2020-02-20 23:00",18.559824,24,1,22.996143,24,1,51.454143,24,1
"2020-02-21 00:00",11.150862,24,1,16.481091,24,1,33.578841,24,1
"2020-02-21 01:00",6.585744,24,1,10.450246,24,1,20.548246,24,1
"2020-02-21 02:00",5.488120,24,1,5.395203,24,1,13.810203,24,1
"2020-02-21 03:00",4.490280,24,1,3.509776,24,1,10.394776,24,1
"2020-02-21 04:00",3.891576,24,1,2.608690,24,1,8.575690,24,1
"2020-02-21 05:00",3.854157,24,1,2.610379,24,1,8.520004,24,1
"2020-02-21 06:00",5.238660,24,1,3.717309,24,1,11.749809,24,1
"2020-02-21 07:00",6.698001,24,1,8.551845,24,1,18.821970,24,1
"2020-02-21 08:00",12.236013,24,1,16.432118,24,1,35.193743,24,1
"2020-02-21 09:00",21.104316,24,1,28.839746,24,1,61.199246,24,1
"2020-02-21 10:00",17.661768,24,1,22.257063,24,1,49.338063,24,1
"2020-02-21 11:00",14.256639,24,1,16.675047,24,1,38.534922,24,1
"2020-02-21 12:00",11.749566,24,1,15.952895,24,1,33.968645,24,1
"2020-02-21 13:00",13.770192,24,1,18.590334,24,1,39.704334,24,1
"2020-02-21 14:00",13.583097,24,1,18.264660,24,1,39.091785,24,1
"2020-02-21 15:00",15.566304,24,1,20.402609,24,1,44.270609,24,1
"2020-02-21 16:00",12.460527,24,1,18.927869,24,1,38.033744,24,1
"2020-02-21 17:00",16.202427,24,1,19.761354,24,1,44.604729,24,1
"2020-02-21 18:00",19.682394,24,1,27.344699,24,1,57.523949,24,1
"2020-02-21 19:00",19.233366,24,1,25.694376,24,1,55.185126,24,1
"2020-02-21 20:00",12.722460,24,1,18.693305,24,1,38.200805,24,1
"2020-02-21 21:00",8.980560,24,1,10.676286,24,1,24.446286,24,1
"2020-02-21 22:00",7.408962,24,1,8.185642,24,1,19.545892,24,1
"2020-02-21 23:00",6.061878,24,1,5.629180,24,1,14.923930,24,1
"2020-02-22 00:00",5.725107,24,1,4.474965,24,1,13.253340,24,1
"2020-02-22 01:00",4.677375,24,1,3.074405,24,1,10.246280,24,1
"2020-02-22 02:00",3.841684,24,1,1.831334,24,1,7.721834,24,1
"2020-02-22 03:00",4.390496,24,1,2.400553,24,1,9.132553,24,1
"2020-02-22 04:00",4.153509,24,1,1.817261,24,1,8.185886,24,1
"2020-02-22 05:00",4.003833,24,1,0.710291,24,1,6.849416,24,1
"2020-02-22 06:00",3.966414,24,1,0.823352,24,1,6.905102,24,1
"2020-02-22 07:00",3.816738,24,1,1.609715,24,1,7.461965,24,1
"2020-02-22 08:00",4.565118,24,1,2.077117,24,1,9.076867,24,1
"2020-02-22 09:00",5.799945,24,1,4.750019,24,1,13.643144,24,1
"2020-02-22 10:00",9.579264,24,1,11.874366,24,1,26.562366,24,1
"2020-02-22 11:00",20.879802,24,1,30.074977,24,1,62.090227,24,1
"2020-02-22 12:00",26.754585,24,1,28.306322,24,1,69.329447,24,1
"2020-02-22 13:00",24.733959,24,1,30.123786,24,1,68.048661,24,1
"2020-02-22 14:00",25.744272,24,1,34.087604,24,1,73.561604,24,1
"2020-02-22 15:00",21.665601,24,1,24.359511,24,1,57.579636,24,1
"2020-02-22 16:00",22.226886,24,1,28.622027,24,1,62.702777,24,1
"2020-02-22 17:00",22.713333,24,1,28.488701,24,1,63.315326,24,1
"2020-02-22 18:00",27.989412,24,1,31.703145,24,1,74.619645,24,1
"2020-02-22 19:00",23.349456,24,1,32.358033,24,1,68.160033,24,1
"2020-02-22 20:00",17.474673,24,1,24.325900,24,1,51.120025,24,1
"2020-02-22 21:00",16.875969,24,1,24.130175,24,1,50.006300,24,1
"2020-02-22 22:00",10.327644,24,1,15.571575,24,1,31.407075,24,1
"2020-02-22 23:00",6.548325,24,1,7.946051,24,1,17.986676,24,1
"2020-02-23 00:00",5.612850,24,1,5.927874,24,1,14.534124,24,1
"2020-02-23 01:00",6.885096,24,1,7.485362,24,1,18.042362,24,1
"2020-02-23 02:00",5.637796,24,1,5.239952,24,1,13.884452,24,1
"2020-02-23 03:00",4.602537,24,1,3.801704,24,1,10.858829,24,1
"2020-02-23 04:00",4.228347,24,1,1.424080,24,1,7.907455,24,1
"2020-02-23 05:00",3.816738,24,1,1.386970,24,1,7.239220,24,1
"2020-02-23 06:00",3.854157,24,1,0.605672,24,1,6.515297,24,1
"2020-02-23 07:00",4.864470,24,1,0.727136,24,1,8.185886,24,1
"2020-02-23 08:00",4.565118,24,1,1.965744,24,1,8.965494,24,1
"2020-02-23 09:00",5.575431,24,1,4.760151,24,1,13.309026,24,1
"2020-02-23 10:00",9.317331,24,1,6.763048,24,1,21.049423,24,1
"2020-02-23 11:00",8.568951,24,1,7.409371,24,1,20.548246,24,1
"2020-02-23 12:00",15.304371,24,1,15.681094,24,1,39.147469,24,1
"2020-02-23 13:00",18.672081,24,1,18.536174,24,1,47.166299,24,1
"2020-02-23 14:00",38.092542,24,1,40.992299,24,1,99.400049,24,1
"2020-02-23 15:00",28.737792,24,1,35.288981,24,1,79.352981,24,1
"2020-02-23 16:00",24.846216,24,1,31.900682,24,1,69.997682,24,1
"2020-02-23 17:00",27.091356,24,1,33.135832,24,1,74.675332,24,1
"2020-02-23 18:00",25.295244,24,1,35.889832,24,1,74.675332,24,1
"2020-02-23 19:00",58.934925,24,1,62.270528,24,1,152.636155,24,1
"2020-02-23 20:00",83.668885,24,1,73.795088,24,1,202.085590,24,1
"2020-02-23 21:00",56.053662,24,1,68.581739,24,1,154.529489,24,1
"2020-02-23 22:00",38.092542,24,1,50.570342,24,1,108.978092,24,1
"2020-02-23 23:00",15.341790,24,1,28.598630,24,1,52.122380,24,1
"2020-02-24 00:00",9.691521,24,1,23.563423,24,1,38.423548,24,1
"2020-02-24 01:00",9.317331,24,1,17.955994,24,1,32.242369,24,1
"2020-02-24 02:00",4.490280,24,1,9.672394,24,1,16.557394,24,1
"2020-02-24 03:00",4.290712,24,1,4.038523,24,1,10.617523,24,1
"2020-02-24 04:00",4.003833,24,1,2.714996,24,1,8.854121,24,1
"2020-02-24 05:00",4.415442,24,1,2.807795,24,1,9.578045,24,1
"2020-02-24 06:00",3.928995,24,1,2.551315,24,1,8.575690,24,1
"2020-02-24 07:00",4.378023,24,1,4.758503,24,1,11.471378,24,1
"2020-02-24 08:00",9.017979,24,1,10.730284,24,1,24.557659,24,1
"2020-02-24 09:00",13.695354,24,1,12.301160,24,1,33.300410,24,1
"2020-02-24 10:00",13.994706,24,1,14.236669,24,1,35.694919,24,1
"2020-02-24 11:00",10.926348,24,1,11.201023,24,1,27.954523,24,1
"2020-02-24 12:00",11.188281,24,1,10.409594,24,1,27.564719,24,1
"2020-02-24 13:00",13.059231,24,1,12.051435,24,1,32.075310,24,1
"2020-02-24 14:00",12.048918,24,1,13.934678,24,1,32.409428,24,1
"2020-02-24 15:00",12.236013,24,1,15.039961,24,1,33.801586,24,1
"2020-02-24 16:00",12.348270,24,1,12.306266,24,1,31.240016,24,1
"2020-02-24 17:00",17.549511,24,1,17.584481,24,1,44.493356,24,1
"2020-02-24 18:00",44.453772,24,1,51.062872,24,1,119.224372,24,1
"2020-02-24 19:00",38.317056,24,1,51.451192,24,1,110.203192,24,1
"2020-02-24 20:00",31.020351,24,1,51.780488,24,1,99.344363,24,1
"2020-02-24 21:00",22.376562,24,1,32.067823,24,1,66.378073,24,1
"2020-02-24 22:00",35.697726,24,1,40.877632,24,1,95.613382,24,1
"2020-02-24 23:00",17.362416,24,1,25.221947,24,1,51.843947,24,1
"2020-02-25 00:00",15.678561,24,1,16.889307,24,1,40.929432,24,1
"2020-02-25 01:00",7.483800,24,1,7.569715,24,1,19.044715,24,1
"2020-02-25 02:00",4.091144,24,1,3.750535,24,1,10.023535,24,1
"2020-02-25 03:00",3.779319,24,1,4.562777,24,1,10.357652,24,1
"2020-02-25 04:00",3.854157,24,1,4.893518,24,1,10.803143,24,1
"2020-02-25 05:00",3.854157,24,1,3.501359,24,1,9.410984,24,1
"2020-02-25 06:00",5.088984,24,1,6.118575,24,1,13.921575,24,1
"2020-02-25 07:00",10.589577,24,1,24.970738,24,1,41.207863,24,1
"2020-02-25 08:00",15.940494,24,1,21.221018,24,1,45.662768,24,1
"2020-02-25 09:00",52.648533,24,1,47.908733,24,1,128.635358,24,1
"2020-02-25 10:00",113.491828,24,1,96.561366,24,1,270.579741,24,1
"2020-02-25 11:00",267.321338,24,1,188.740745,24,1,598.627746,24,1
"2020-02-25 12:00",43.855068,24,1,51.089892,24,1,118.333392,24,1
"2020-02-25 13:00",33.751938,24,1,44.863484,24,1,96.615734,24,1
"2020-02-25 14:00",82.671044,24,1,52.029654,24,1,178.790154,24,1
"2020-02-25 15:00",32.591949,24,1,38.066419,24,1,88.040044,24,1
"2020-02-25 16:00",44.266677,24,1,45.112882,24,1,112.987507,24,1
"2020-02-25 17:00",51.638220,24,1,53.522957,24,1,132.700457,24,1
"2020-02-25 18:00",42.657660,24,1,51.533735,24,1,116.941235,24,1
"2020-02-25 19:00",55.978824,24,1,62.069818,24,1,147.902818,24,1
"2020-02-25 20:00",55.791729,24,1,57.400612,24,1,142.946737,24,1
"2020-02-25 21:00",41.011224,24,1,53.111567,24,1,115.994567,24,1
"2020-02-25 22:00",21.066897,24,1,31.681437,24,1,63.983562,24,1
"2020-02-25 23:00",29.186820,24,1,35.936952,24,1,80.689452,24,1
"2020-02-26 00:00",11.899242,24,1,20.623788,24,1,38.869038,24,1
"2020-02-26 01:00",8.157342,24,1,12.606772,24,1,25.114522,24,1
"2020-02-26 02:00",6.934988,24,1,9.116576,24,1,19.750076,24,1
"2020-02-26 03:00",8.282072,24,1,11.654477,24,1,24.353477,24,1
"2020-02-26 04:00",5.163822,24,1,5.781080,24,1,13.698830,24,1
"2020-02-26 05:00",4.378023,24,1,5.760857,24,1,12.473732,24,1
"2020-02-26 06:00",7.072191,24,1,6.920056,24,1,17.763931,24,1
"2020-02-26 07:00",18.073377,24,1,23.686332,24,1,51.398457,24,1
"2020-02-26 08:00",41.160900,24,1,47.035006,24,1,110.147506,24,1
"2020-02-26 09:00",89.581087,24,1,76.535335,24,1,213.891087,24,1
"2020-02-26 10:00",126.887830,24,1,87.047003,24,1,281.605630,24,1
"2020-02-26 11:00",107.242855,24,1,88.323373,24,1,252.760125,24,1
"2020-02-26 12:00",38.466732,24,1,51.221692,24,1,110.203192,24,1
"2020-02-26 13:00",56.315595,24,1,53.200498,24,1,139.549873,24,1
"2020-02-26 14:00",52.910466,24,1,58.978486,24,1,140.106736,24,1
"2020-02-26 15:00",49.580175,24,1,53.727208,24,1,129.749083,24,1
"2020-02-26 16:00",51.900153,24,1,65.595065,24,1,145.174190,24,1
"2020-02-26 17:00",69.150312,24,1,68.770302,24,1,174.799302,24,1
"2020-02-26 18:00",84.155332,24,1,78.951963,24,1,207.988338,24,1
"2020-02-26 19:00",105.371905,24,1,95.535656,24,1,257.103658,24,1
"2020-02-26 20:00",95.942317,24,1,89.111792,24,1,236.221294,24,1
"2020-02-26 21:00",73.902526,24,1,73.511918,24,1,186.827543,24,1
"2020-02-26 22:00",23.012685,24,1,37.217940,24,1,72.503565,24,1
"2020-02-26 23:00",20.468193,24,1,29.202573,24,1,60.586698,24,1
"2020-02-27 00:00",14.668248,24,1,25.120789,24,1,47.611789,24,1
"2020-02-27 01:00",6.623163,24,1,11.729341,24,1,21.884716,24,1
"2020-02-27 02:00",-0.350503,24,1,8.066217,24,1,7.528788,24,1
"2020-02-27 03:00",-0.600862,24,1,6.438732,24,1,5.517423,24,1
"2020-02-27 04:00",-0.150216,24,1,6.910283,24,1,6.679955,24,1
"2020-02-27 05:00",1.164171,24,1,8.770027,24,1,10.555063,24,1
"2020-02-27 06:00",4.206035,24,1,12.575778,24,1,19.024942,24,1
"2020-02-27 07:00",3.792942,24,1,14.537787,24,1,20.353550,24,1
"2020-02-27 08:00",54.077598,24,1,47.156633,24,1,130.074459,24,1
"2020-02-27 09:00",100.118663,24,1,78.310575,24,1,231.823718,24,1
